year_film,year_ceremony,ceremony,category,name,film,winner,year_film_film,imdbID,imdbLink
1978,1979,51,MUSIC (Original Score),Giorgio Moroder,Midnight Express,TRUE,1978Midnight Express,tt0077928,https://www.imdb.com/title/tt0077928/
1978,1979,51,MUSIC (Original Score),John Williams,Superman,FALSE,1978Superman,tt0078346,https://www.imdb.com/title/tt0078346/
1978,1979,51,MUSIC (Original Song),Music and Lyrics by John Farrar,Grease,FALSE,1978Grease,tt0077631,https://www.imdb.com/title/tt0077631/
1978,1979,51,MUSIC (Original Song),Music and Lyrics by Paul Jabara,Thank God It's Friday,TRUE,1978Thank God It's Friday,tt0078382,https://www.imdb.com/title/tt0078382/
1978,1979,51,MUSIC (Original Song),Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman,"Same Time, Next Year",FALSE,"1978Same Time, Next Year",tt0078199,https://www.imdb.com/title/tt0078199/
1978,1979,51,MUSIC (Original Song),Music by Charles Fox; Lyrics by Norman Gimbel,Foul Play,FALSE,1978Foul Play,tt0077578,https://www.imdb.com/title/tt0077578/
1978,1979,51,MUSIC (Original Song),Music and Lyrics by Richard M. Sherman and Robert B. Sherman,The Magic of Lassie,FALSE,1978The Magic of Lassie,tt0077890,https://www.imdb.com/title/tt0077890/
1978,1979,51,BEST PICTURE,"Jerome Hellman, Producer",Coming Home,FALSE,1978Coming Home,tt0077362,https://www.imdb.com/title/tt0077362/
1978,1979,51,BEST PICTURE,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers",The Deer Hunter,TRUE,1978The Deer Hunter,tt0077416,https://www.imdb.com/title/tt0077416/
1978,1979,51,BEST PICTURE,"Warren Beatty, Producer",Heaven Can Wait,FALSE,1978Heaven Can Wait,tt0077663,https://www.imdb.com/title/tt0077663/
